brand,xhs_posts,xhs_median_engagement,oliveyoung_best_rank,oliveyoung_ranked_products,xhs_observed,oliveyoung_observed,cross_source_observed,interpretation
WAKEMAKE,97.0,1196.0,5.0,1.0,True,True,True,coverage only; engagement and sales rank are not directly comparable
3CE,40.0,11564.5,12.0,1.0,True,True,True,coverage only; engagement and sales rank are not directly comparable
rom&nd,7.0,2902.0,3.0,2.0,True,True,True,coverage only; engagement and sales rank are not directly comparable
CANMAKE,102.0,4358.5,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Mistine,100.0,6522.0,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
AMUSE,62.0,1756.5,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Sivanna Colors,38.0,2545.5,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Innisfree,19.0,2047.0,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Judydoll,12.0,6904.5,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Proya,8.0,5611.5,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Lancôme,7.0,6318.0,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
Laneige,5.0,1600.0,,,True,False,False,coverage only; engagement and sales rank are not directly comparable
ABOUT_TONE,,,6.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
BANILA CO,,,10.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
CLIO,,,15.0,3.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
HERA,,,11.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
JUNGSAEMMOOL,,,1.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
OBgE,,,13.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
Torriden,,,8.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
dasique,,,9.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
fwee,,,18.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
lilybyred,,,2.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
peripera,,,7.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
so natural,,,16.0,1.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
too cool for school,,,4.0,2.0,False,True,False,coverage only; engagement and sales rank are not directly comparable
